㯷	㯷 柚
㳽	㳽 满
个	个 的
乃	乃 那
光	光 亮
刺	刺 刺
华	华 还
呃	呃 骗
咒	咒 骂
奀	奀 小
婎	婎 美
将	将 把
扭	扭 拧
拐	拐 抱
掂	掂 端
揣	揣 猜
摣	摣 拿
无	无 不
杰	杰 段
死	死 极
甕	甕 缸
畏	畏 秽
皿	皿 血
睇	睇 看
睏	睏 睡
瞄	瞄 看
瞓	瞓 睡
簎	簎 刺
胒	胒 些
艃	艃 帆
莫	莫 别
菢	菢 孵
话	话 说
踎	踎 蹲
都	都 了
镬	镬 锅
颠	颠 傻
𫠲	𫠲 直
㑢	㑢 他们
㑷	㑷 那么
㓤	㓤 刺扎
㓥	㓥 宰杀
䈾	䈾 横打
䞌	䞌 亏本
仔	仔 儿子
仙	仙 铜板
任	任 任由
伢	伢 婴儿
值	值 值得
偌	偌 你们
偔	偔 我们
克	克 绳结
净	净 干净
几	几 多么
剢	剢 剁切
吽	吽 蠢笨
呕	呕 呕吐
哏	哏 刚刚
唛	唛 商标
嗽	嗽 咳嗽
嘢	嘢 东西
垌	垌 田野
埕	埕 坛子
声	声 声音
奶	奶 母亲
妗	妗 舅母
姆	姆 伯母
尺	尺 尺子
尾	尾 尾巴
席	席 席子
底	底 底下
弹	弹 挑剔
彩	彩 幸运
悭	悭 节俭
懵	懵 舞动
扪	扪 遮盖
找	找 兑换
押	押 强迫
捂	捂 推搡
掼	掼 扔掉
揰	揰 碰撞
揾	揾 找寻
攰	攰 疲乏
斫	斫 剁切
未	未 没有
杯	杯 杯子
枧	枧 肥皂
样	样 样子
档	档 摊子
毽	毽 毽子
氹	氹 水洼
浅	浅 讽刺
涂	涂 涂上
渡	渡 渡船
湿	湿 肝脏
漏	漏 遗失
疲	疲 拖延
眯	眯 闭眼
瞠	瞠 张开
破	破 劈开
碌	碌 翻滚
禁	禁 耐用
种	种 种子
索	索 绳子
绸	绸 绸子
缚	缚 捆绑
翳	翳 伤心
脷	脷 舌头
蒟	蒟 蒟蒻
蚝	蚝 牡蛎
蛤	蛤 青蛙
蜢	蜢 蚱蜢
蠘	蠘 花蟹
衰	衰 倒霉
袜	袜 袜子
誓	誓 诅咒
谂	谂 思考
谷	谷 谷子
趠	趠 跳跃
跌	跌 摔跤
跷	跷 凑巧
轿	轿 轿子
辘	辘 车轮
鑑	鑑 间隔
钦	钦 恭敬
镜	镜 镜子
雁	雁 大雁
靓	靓 漂亮
韫	韫 困住
须	须 胡子
馟	馟 气味
鲎	鲎 鳖鱼
鹤	鹤 白鹤
鼻	鼻 鼻子
𠱓	𠱓 央求
𠵴	𠵴 什么
𩠌	𩠌 菜肴
𫐥	𫐥 游荡
𫖵	𫖵 昂头
𫣶	𫣶 依靠
𰗦	𰗦 阁楼
挹	挹 ①用5个手指靠拢抓住②量词
㶶	㶶 糊、焦
侧	侧 使倾斜
共	共 抱孩子
冧	冧 塌下来
卯	卯 坏家伙
咪	咪 麦克风
喏	喏 你们的
嗗	嗗 吞咽声
嬲	嬲 怒、恨
得	得 准、能
扻	扻 碰、撞
拭	拭 擦、抹
掕	掕 大力拉
搀	搀 用棍刺
瘪	瘪 不饱满
筲	筲 缚、拴
篢	篢 大箱子
糁	糁 小米粒
绹	绹 缚、拴
缄	缄 封、闭
罨	罨 敷上去
群	群 随伴着
